100350,Ginebras,TABARCA SELECCIÓN,GIN SEAGRAM'S 70cl (GRATIS 0€),0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100399,QUESOS Y EMBUTIDOS,GMA,JAMÓN IBÉRICO DE CEBO,14.0,14.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100404,OTROS,LA TIENDA DEL BARMAN,JIGGER JAPONES 15-25/50 ML INOX,8.0,8.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100431,Licores General,TABARCA SELECCIÓN,LICOR RON MALIBU 70CL,9.0,9.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100522,CARNES,MAKRO,MOLLEJAS DE CORDERO,15.0,15.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100526,CONGELADO,POSTRES PRAVIT,"MORRALLA XKG (3,5)",4.0,4.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100527,Licores General,TABARCA SELECCIÓN,LICOR DE CHOCOLATE MOZART ,0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100586,CARNES,GARRIGOS,PLUMA BELLOTA 100% ARROZ,25.0,25.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100619,Whiskies,TABARCA SELECCIÓN,RED LABEL (GRATIS 0€),0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100634,Rones,TABARCA SELECCIÓN,RON BRUGAL AÑEJO 70cl (GRATIS 0€),0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100644,Rones,TABARCA SELECCIÓN,RON MALIBU COCO CARIBEAM RUM 70cl,9.0,9.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100658,OTROS,JORDÁ,SACO CARBON MARABU,14.0,14.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100671,BEBIDAS,COM. TABARCA,SCHWEPPES TONICA E/R 200ML*28  (GRATIS 0€),0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100676,OTROS,COM. TABARCA,CORTE JAMÓN,70.0,70.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100687,CARNES,GARRIGOS,SOLOMILLO BELLOTA 100% CONGELADA COVAP (1 PIEZA) (GRATIS 0 €),0.0,0.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100688,OTROS,LA TIENDA DEL BARMAN,SOPLETE,29.0,29.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100689,OTROS,CBB HOSTELERÍA,SOPORTE ACACIA 18X18X10CM 3U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100709,OTROS,CBB HOSTELERÍA,TENEDOR MESA 98 ALISAS 18/0 - 2.5 MM 12U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100710,OTROS,CBB HOSTELERÍA,TENEDOR PESCADO 98 ALISAS 18/0 - 2.5 MM 12U/C,0.0,0.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100713,Licores General,TABARCA SELECCIÓN,TEQUILA PATRON AÑEJO - 70CL,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100714,Licores General,TABARCA SELECCIÓN,TEQUILA PATRON REPOSADO - 70CL,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100717,Licores General,TABARCA SELECCIÓN,TERRY,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100720,FRUTAS Y VERDURAS,BIOKO,TIRABEQUES,14.0,14.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100730,OTROS,MAKRO,TOSTADOR 2 PISOS TIMER BL,203.0,203.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100731,"PAN, BOLLERIA Y DULCES",GUILLERMO SEVERA,TRANSPORTE CONGELADO,25.0,25.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100736,CARNES,GARRIGOS,TXISTORRA CERDO 1K APROX (RISTRAS 3),9.0,9.0,KG,1.0,1.0,1.0,0.0,1.0,0.0
100741,OTROS,LA TIENDA DEL BARMAN,VASO MEZCLADOR PEQUEÑO ,14.0,14.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100746,Vinos y Espumosos,TABARCA SELECCIÓN,VE LUMEN RIOJA BRUT 75CL,12.0,12.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100749,Vinos y Espumosos,TABARCA SELECCIÓN,VERMUT DOMINGO 70cl (GRATIS 0 €),0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100750,Vinos y Espumosos,TABARCA SELECCIÓN,VI ABADIA DE POBLET BLANCO 75cl,9.0,9.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100751,Vinos y Espumosos,TABARCA SELECCIÓN,VI ABADIA DE POBLET TINTO 75CL*6,9.0,9.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100756,Vinos y Espumosos,TABARCA SELECCIÓN,VI CASTELL DE RAIMAT CHARD. 75cl *6,5.0,5.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100758,Vinos y Espumosos,TABARCA SELECCIÓN,VI LEGARIS CALMO Est.madera 3/4,46.0,46.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100760,Vinos y Espumosos,TABARCA SELECCIÓN,VI LEGARIS PARAMOS 3/4,12.0,12.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100762,Vinos y Espumosos,TABARCA SELECCIÓN,VI LEGARIS TINTO Cza 1/2,8.0,8.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100768,Vinos y Espumosos,TABARCA SELECCIÓN,VI MONTECILLO T.Cza 3/4 (GRATIS 0 €),0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100772,Vinos y Espumosos,TABARCA SELECCIÓN,VI SEPTIMA G.Rva 75cl,8.0,8.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100773,Vinos y Espumosos,TABARCA SELECCIÓN,VI TIONIO CRIANZA 75cl *6,11.0,11.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100778,Vinos y Espumosos,TABARCA SELECCIÓN,VI VEGA SICILIA OREMUS 5 PTT 3/4,49.0,49.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100780,Vinos y Espumosos,TABARCA SELECCIÓN,VI VICALANDA TINTO Rva 3/4,14.0,14.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100781,Vinos y Espumosos,TABARCA SELECCIÓN,VI VIÑA POMAL 106 BARRICA Rva 75cl,11.0,11.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100786,Vinos y Espumosos,TABARCA SELECCIÓN,VI VIÑA POMAL SEL.500 Cza 3/4,7.0,7.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100789,Vinos y Espumosos,TABARCA SELECCIÓN,VI. CASTELL EL MOLI 75CL*6,7.0,7.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100801,Vodkas,TABARCA SELECCIÓN,VODKA ERISTOFF 1L (NO USAR),0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100820,Whiskies,TABARCA SELECCIÓN,WHISKY GLENROTHES 25 años 70cl,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100827,Whiskies,TABARCA SELECCIÓN,WHISKY MACALLAN 12 OAK 70cl,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100828,Whiskies,TABARCA SELECCIÓN,WHISKY MACALLAN 12 Rare Cask 70cl,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100840,Licores General,TABARCA SELECCIÓN,XANTIAMEN AVELLANA,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100865,OTROS,JUGUETES PEREZ,"CACEROLA OVAL MAGMA GREY 21,7X15CM",9.0,9.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100866,OTROS,JUGUETES PEREZ,"CACEROLA OVAL MAGMA RED 21,7X15CM",9.0,9.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100877,OTROS,JUGUETES PEREZ,DECANTADOR RECTO CON AGUJERO,6.0,6.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100914,Whiskies,TABARCA SELECCIÓN,WHISKY JOHNNIE WALKER BLUE LABEL ,130.0,130.0,UD,1.0,1.0,1.0,0.0,1.0,0.0
100919,Licores General,TABARCA SELECCIÓN,ST. GERMAIN,0.0,0.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100920,Vinos y Espumosos,TABARCA SELECCIÓN,VI SCALA DEI GARNACHA MASSIPA 75CL,22.0,22.0,L,1.0,1.0,1.0,0.0,1.0,0.0
100926,OTROS,ELABORACIÓN PROPIA,SALSA BRAVA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100927,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SETAS SIMEJI,0.0,0.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100928,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SETAS ERINJI,0.0,0.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100929,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SETAS SILVESTRES,0.0,0.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100932,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,TEMPURA (PARA VERDURAS),0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100933,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,ALUBIAS BRUNCH,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100935,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,BECHAMEL,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100937,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,BIBERON ALBAHACA,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,1.0
100938,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,LECHE DE TIGRE (CEVICHE),0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,1.0
100939,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA PIMIENTOS,0.0,13.5,L,1.0,1.0,1.0,0.0,1.0,1.0
100940,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,CALDO FONDO CARNE,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,1.0
100941,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,CALDO FONDO VERDURAS,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,1.0
100942,PESCADOS Y MARISCOS,ELABORACIÓN PROPIA,CALAMARES,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100943,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,CALDO FONDO PESCADO,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,1.0
100944,PESCADOS Y MARISCOS,ELABORACIÓN PROPIA,ADOBO CAZON,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100945,CARNES,RAMON CAPARROS,VACIO DE TERNERA,8.0,8.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100946,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,CEBOLLA ENCURTIDA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100947,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,CEBOLLA Y PIQUILLO PARA COCA ESPINACAS,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100948,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,CEVICHE CORVINA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100949,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,CRUMBLE DE MANZANA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100950,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,ENSALADILLA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100951,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,ESCALIBADA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100952,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,FUMET PESCADO (LECHE TRIGRE),0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,1.0
